timestamp,event,score_added,total_score,details
2026-07-22 16:09:31.571053,Looking away,10,10,
2026-07-22 16:09:35.495941,Looking away,10,20,
2026-07-22 16:09:35.617591,Looking away,10,30,
2026-07-22 16:09:37.895138,Looking away,10,40,
2026-07-22 16:09:42.569159,Looking away,10,50,
2026-07-22 16:09:42.685920,Looking away,10,60,
2026-07-22 16:09:42.809575,Looking away,10,70,
2026-07-22 16:09:42.946329,Looking away,10,80,
2026-07-22 16:09:43.059941,Looking away,10,90,
2026-07-22 16:09:45.063102,Looking away,10,100,
2026-07-22 16:09:45.935029,Looking away,10,110,
2026-07-22 16:09:46.055939,Looking away,10,120,
2026-07-22 16:09:46.178801,Looking away,10,130,
2026-07-22 16:09:46.341933,Looking away,10,140,
2026-07-22 16:09:46.464628,Looking away,10,150,
2026-07-22 16:09:46.590641,Looking away,10,160,
2026-07-22 16:09:46.713516,Looking away,10,170,
2026-07-22 16:09:46.854686,Looking away,10,180,
2026-07-22 16:09:47.763459,Looking away,10,190,
2026-07-22 16:09:47.949641,Looking away,10,200,
2026-07-22 16:09:48.747552,Looking away,10,210,
2026-07-22 16:09:48.881763,Looking away,10,220,
2026-07-22 16:09:49.009562,Looking away,10,230,
2026-07-22 16:09:52.329794,Looking away,10,240,
2026-07-22 16:09:52.464776,Looking away,10,250,
2026-07-22 16:09:52.606763,Looking away,10,260,
2026-07-22 16:09:52.740443,Looking away,10,270,
2026-07-22 16:09:54.264023,Looking away,10,280,
2026-07-22 16:09:54.965528,Looking away,10,290,
2026-07-22 16:09:55.087251,Looking away,10,300,
2026-07-22 16:09:55.333221,Looking away,10,310,
2026-07-22 16:09:55.458241,Looking away,10,320,
2026-07-22 16:16:15.080608,Looking away,10,10,
2026-07-22 16:16:15.191617,Looking away,0,10,
2026-07-22 16:16:15.847659,Looking away,0,10,
2026-07-22 16:16:15.963298,Looking away,0,10,
2026-07-22 16:16:16.112091,Looking away,0,10,
2026-07-22 16:16:16.222532,Looking away,0,10,
2026-07-22 16:16:16.340427,Looking away,0,10,
2026-07-22 16:16:16.454500,Looking away,0,10,
2026-07-22 16:16:16.667166,Looking away,0,10,
2026-07-22 16:16:16.778585,Looking away,0,10,
2026-07-22 16:16:16.903116,Looking away,0,10,
2026-07-22 16:16:17.021818,Looking away,0,10,
